Date,Volume,Name
2021-08-07,40030862141,BTC-USD
2021-08-08,36302664750,BTC-USD
2021-08-09,38734079049,BTC-USD
2021-08-10,33546019517,BTC-USD
2021-08-11,34319709073,BTC-USD
2021-08-12,33723620826,BTC-USD
2021-08-13,31744259539,BTC-USD
2021-08-14,31211354442,BTC-USD
2021-08-15,30988958446,BTC-USD
2021-08-16,32776876610,BTC-USD
2021-08-17,33451362600,BTC-USD
2021-08-18,32194123075,BTC-USD
2021-08-19,37204312299,BTC-USD
2021-08-20,34706867452,BTC-USD
2021-08-21,40585205312,BTC-USD
2021-08-22,25370975378,BTC-USD
2021-08-23,34305053719,BTC-USD
2021-08-24,35361168834,BTC-USD
2021-08-25,32646349931,BTC-USD
2021-08-26,32666549568,BTC-USD
2021-08-27,34511076995,BTC-USD
2021-08-28,28568103401,BTC-USD
2021-08-29,25889650240,BTC-USD
2021-08-30,31847007016,BTC-USD
2021-08-31,34730363427,BTC-USD
2021-09-01,39139399125,BTC-USD
2021-09-02,39508070319,BTC-USD
2021-09-03,43206179619,BTC-USD
2021-09-04,37471327794,BTC-USD
2021-09-05,30322676319,BTC-USD
2021-09-06,38884105426,BTC-USD
2021-09-07,65210059683,BTC-USD
2021-09-08,49007762488,BTC-USD
2021-09-09,38672657013,BTC-USD
2021-09-10,39154666597,BTC-USD
2021-09-11,34499835245,BTC-USD
2021-09-12,27881980161,BTC-USD
2021-09-13,40969943253,BTC-USD
2021-09-14,38652152880,BTC-USD
2021-09-15,30484496466,BTC-USD
2021-09-16,31764293754,BTC-USD
2021-09-17,28727713711,BTC-USD
2021-09-18,28575630451,BTC-USD
2021-09-19,26967722648,BTC-USD
2021-09-20,43909845642,BTC-USD
2021-09-21,48701090088,BTC-USD
2021-09-22,38139709246,BTC-USD
2021-09-23,34244064430,BTC-USD
2021-09-24,42839345714,BTC-USD
2021-09-25,31604717236,BTC-USD
2021-09-26,30661222077,BTC-USD
2021-09-27,30980029059,BTC-USD
2021-09-28,30214940550,BTC-USD
2021-09-29,30602359905,BTC-USD
2021-09-30,31141681925,BTC-USD
2021-10-01,42850641582,BTC-USD
2021-10-02,30614346492,BTC-USD
2021-10-03,26638115879,BTC-USD
2021-10-04,33383173002,BTC-USD
2021-10-05,35873904236,BTC-USD
2021-10-06,49034730168,BTC-USD
2021-10-07,36807860413,BTC-USD
2021-10-08,34800873924,BTC-USD
2021-10-09,32491211414,BTC-USD
2021-10-10,39527792364,BTC-USD
2021-10-11,42637331698,BTC-USD
2021-10-12,41083758949,BTC-USD
2021-10-13,41684252783,BTC-USD
2021-10-14,36615791366,BTC-USD
2021-10-15,51780081801,BTC-USD
2021-10-16,34250964237,BTC-USD
2021-10-17,29032367511,BTC-USD
2021-10-18,38055562075,BTC-USD
2021-10-19,40471196346,BTC-USD
2021-10-20,40788955582,BTC-USD
2021-10-21,45908121370,BTC-USD
2021-10-22,38434082775,BTC-USD
2021-10-23,26882546034,BTC-USD
2021-10-24,27316183882,BTC-USD
2021-10-25,31064911614,BTC-USD
2021-10-26,34878965587,BTC-USD
2021-10-27,43657076893,BTC-USD
2021-10-28,45257083247,BTC-USD
2021-10-29,36856881767,BTC-USD
2021-10-30,32157938616,BTC-USD
2021-10-31,32241199927,BTC-USD
2021-11-01,36150572843,BTC-USD
2021-11-02,37746665647,BTC-USD
2021-11-03,36124731509,BTC-USD
2021-11-04,32615846901,BTC-USD
2021-11-05,30605102446,BTC-USD
2021-11-06,29094934221,BTC-USD
2021-11-07,24726754302,BTC-USD
2021-11-08,41125608330,BTC-USD
2021-11-09,42357991721,BTC-USD
2021-11-10,48730828378,BTC-USD
2021-11-11,35880633236,BTC-USD
2021-11-12,36084893887,BTC-USD
2021-11-13,30474228777,BTC-USD
2021-11-14,25122092191,BTC-USD
2021-11-15,30558763548,BTC-USD
2021-11-16,46844335592,BTC-USD
2021-11-17,39178392930,BTC-USD
2021-11-18,41388338699,BTC-USD
2021-11-19,38702407772,BTC-USD
2021-11-20,30624264863,BTC-USD
2021-11-21,26123447605,BTC-USD
2021-11-22,35036121783,BTC-USD
2021-11-23,37485803899,BTC-USD
2021-11-24,36635566789,BTC-USD
2021-11-25,34284016248,BTC-USD
2021-11-26,41810748221,BTC-USD
2021-11-27,30560857714,BTC-USD
2021-11-28,28116886357,BTC-USD
2021-11-29,32370840356,BTC-USD
2021-11-30,36631281664,BTC-USD
2019-11-30,6565950868,ETH-USD
2019-12-01,7102780298,ETH-USD
2019-12-02,6670561362,ETH-USD
2019-12-03,6204379850,ETH-USD
2019-12-04,7865937094,ETH-USD
